term_str,PC0,PC1,PC2,PC3,PC4
air,-6.586842056631706e-05,-0.00011382168419343747,-9.472589429210844e-05,5.691182507385185e-05,-5.622590618045724e-05
airborne,-7.928414555518232e-06,-1.3576932814116903e-05,-1.7396337793243522e-05,-1.5298875400163303e-05,7.386564149070605e-07
aircraft,-7.135573099966412e-05,-0.0001221923953270521,-0.00015656704013919178,-0.00013768987860146968,6.647907734163481e-06
airfield,-7.928414555518232e-06,-1.3576932814116903e-05,-1.7396337793243522e-05,-1.5298875400163303e-05,7.386564149070605e-07
airframe,-7.928414555518232e-06,-1.3576932814116903e-05,-1.7396337793243522e-05,-1.5298875400163303e-05,7.386564149070605e-07
airplane,-2.7028222495934694e-05,-4.4949551630738774e-05,-6.033223619617009e-05,-3.449656953738052e-05,2.1619310438755183e-06
airplanes,-9.514097466621877e-05,-0.00016292319376940285,-0.00020875605351892225,-0.00018358650480195947,8.863876978884452e-06
airraid,-8.39392013509163e-05,-0.00013437979127747647,-0.0001967873561056809,-0.00021146074836414218,5.569460746581319e-05
airraids,-1.1991314478701353e-05,-1.919711303963796e-05,-2.8112479443666467e-05,-3.0208678337732173e-05,7.956372495115524e-06
airs,-1.0978433049260334e-05,-1.9442757360611198e-05,-2.761958038336998e-05,-3.6111427221847316e-05,-4.944397762218052e-05
airship,-3.491661581579606e-05,-6.594573627043105e-05,-2.1991918725616562e-05,0.0004469240642113383,-6.5445639444169525e-06
